id| orderId| userId| menuId| quantity| orderDate| orderTime| remarks| mode| orderStatus| hasDiscount| deliveryLocation
1| 1| 1| 1| 3| 2023-11-30| 13:42:01.676405100| | Delivery| Accepted| null| Block A
2| 1| 1| 2| 3| 2023-11-30| 13:42:01.676405100| | Delivery| Accepted| null| Block A
3| 2| 1| 1| 3| 2023-11-30| 13:42:14.486266900| | Delivery| Pending| null| Block B
4| 2| 1| 3| 3| 2023-11-30| 13:42:14.486266900| | Delivery| Pending| null| Block B
5| 3| 1| 1| 3| 2023-11-30| 15:46:18.670080200| | Delivery| Pending| null| Block E
6| 3| 1| 2| 3| 2023-11-30| 15:46:18.670080200| | Delivery| Pending| null| Block E
7| 4| 1| 1| 3| 2023-12-02| 04:24:35.200135600| | Delivery| Pending| null| Block D
8| 4| 1| 2| 3| 2023-12-02| 04:24:35.200135600| | Delivery| Pending| null| Block D
9| 5| 1| 1| 3| 2023-12-07| 23:23:10.802046600| | Delivery| Pending| no| Block D
10| 5| 1| 2| 1| 2023-12-07| 23:23:10.802046600| | Delivery| Pending| no| Block D
11| 6| 1| 3| 1| 2023-12-07| 23:25:00.026889100| | Delivery| Pending| no| Block E
12| 7| 1| 3| 1| 2023-12-07| 23:25:33.814238400| | Delivery| Pending| no| Block D
13| 8| 1| 1| 3| 2023-12-07| 23:28:32.031993400| | Delivery| Pending| no| Block D
14| 8| 1| 3| 2| 2023-12-07| 23:28:32.033000800| | Delivery| Pending| no| Block D
15| 9| 1| 1| 2| 2023-12-07| 23:29:38.182341300| | Delivery| Pending| no| Block B
16| 9| 1| 3| 1| 2023-12-07| 23:29:38.183340500| | Delivery| Pending| no| Block B
17| 10| 1| 1| 2| 2023-12-07| 23:31:09.957459500| | Delivery| Pending| no| Block D
18| 10| 1| 3| 1| 2023-12-07| 23:31:09.958662900| | Delivery| Pending| no| Block D
19| 11| 1| 1| 2| 2023-12-07| 23:32:27.636404500| | Delivery| Pending| no| Block D
20| 11| 1| 3| 1| 2023-12-07| 23:32:27.637407400| | Delivery| Pending| no| Block D
21| 12| 1| 1| 2| 2023-12-07| 23:34:47.804657700| | Delivery| Pending| no| Block D
22| 12| 1| 3| 1| 2023-12-07| 23:34:47.805662200| | Delivery| Pending| no| Block D
23| 13| 1| 1| 2| 2023-12-07| 23:38:31.383301300| | Delivery| Pending| no| Block D
24| 13| 1| 3| 1| 2023-12-07| 23:38:31.384301200| | Delivery| Pending| no| Block D
25| 14| 1| 1| 2| 2023-12-07| 23:43:55.300714300| | Delivery| Pending| yes| Block D
26| 14| 1| 3| 1| 2023-12-07| 23:43:55.301717200| | Delivery| Pending| yes| Block D
